identificacion;nombre y apellido;cargo;nombre_sede
1002456789;Ana Martínez;Recepcionista;Cartagena
1003984756;Carlos Gómez;Vigilante;Santa Marta
1005879641;Laura Rodríguez;Administrador;Tocancipa
1001983645;Pedro Sánchez;Técnico de sistemas;Cartagena
1006473829;María Fernanda Torres;Coordinadora;Tocancipa
1003245678;Andrés Morales;Mensajero;Tocancipa
1008765432;Sofía Delgado;Supervisora;Cartagena
1001234987;Diego López;Auxiliar de mantenimiento;Santa Marta
1004567890;Isabel Ramírez;Secretaria;Cartagena
1007894321;Julio Peña;Conserje;Santa Marta
